,ocid,Level_00,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06
74,ocds-591adf-3419068261,4,4.0,4.0.0,4.0.0.2,4.0.0.2,4.0.0.2,4.0.0.2
75,ocds-591adf-5834131316,4,4.1,4.1.0,4.1.0.1,4.1.0.1.1,4.1.0.1.1.0,4.1.0.1.1.0
76,ocds-591adf-8560734374,0,0.0,0.0.0,0.0.0.1,0.0.0.1.1,0.0.0.1.1,0.0.0.1.1
77,ocds-591adf-3434080334,0,0.0,0.0.5,0.0.5.1,0.0.5.1,0.0.5.1,0.0.5.1
78,ocds-591adf-1142200771,0,0.2,0.2.3,0.2.3.0,0.2.3.0,0.2.3.0,0.2.3.0
79,ocds-591adf-9645096819,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.0,0.0.0.0.1.0.0
80,ocds-591adf-2272060363,0,0.7,0.7.1,0.7.1,0.7.1,0.7.1,0.7.1
81,ocds-591adf-7304502537,3,3.1,3.1.2,3.1.2.0,3.1.2.0,3.1.2.0,3.1.2.0
82,ocds-591adf-6203514165,3,3.1,3.1.3,3.1.3.2,3.1.3.2,3.1.3.2,3.1.3.2
83,ocds-591adf-4966736928,2,2.1,2.1.0,2.1.0.1,2.1.0.1,2.1.0.1,2.1.0.1
84,ocds-591adf-5976674032,2,2.2,2.2.0,2.2.0.2,2.2.0.2,2.2.0.2,2.2.0.2
85,ocds-591adf-3508491732,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
86,ocds-591adf-8228200502,3,3.5,3.5.1,3.5.1.2,3.5.1.2,3.5.1.2,3.5.1.2
87,ocds-591adf-3710317476,5,5.2,5.2,5.2,5.2,5.2,5.2
88,ocds-591adf-9316230710,7,7.1,7.1,7.1,7.1,7.1,7.1
89,ocds-591adf-7493980687,0,0.2,0.2.5,0.2.5,0.2.5,0.2.5,0.2.5
90,ocds-591adf-6872304960,0,0.2,0.2.5,0.2.5,0.2.5,0.2.5,0.2.5
91,ocds-591adf-8331896069,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
92,ocds-591adf-7882794324,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
93,ocds-591adf-4204873445,5,5.1,5.1,5.1,5.1,5.1,5.1
94,ocds-591adf-6115191223,3,3.5,3.5.4,3.5.4,3.5.4,3.5.4,3.5.4
95,ocds-591adf-3223591068,5,5.1,5.1,5.1,5.1,5.1,5.1
96,ocds-591adf-0864633129,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
97,ocds-591adf-0070222386,3,3.5,3.5.2,3.5.2.0,3.5.2.0,3.5.2.0,3.5.2.0
98,ocds-591adf-5358845209,0,0.4,0.4.1,0.4.1.0,0.4.1.0,0.4.1.0,0.4.1.0
99,ocds-591adf-0857214071,0,0.0,0.0.9,0.0.9.2,0.0.9.2.1,0.0.9.2.1,0.0.9.2.1
100,ocds-591adf-7919066275,0,0.0,0.0.9,0.0.9.2,0.0.9.2.0,0.0.9.2.0,0.0.9.2.0
101,ocds-591adf-6724750267,0,0.0,0.0.9,0.0.9.0,0.0.9.0.0,0.0.9.0.0,0.0.9.0.0
102,ocds-591adf-8934817155,0,0.3,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0
103,ocds-591adf-2908318711,3,3.0,3.0.0,3.0.0.3,3.0.0.3.2,3.0.0.3.2,3.0.0.3.2
104,ocds-591adf-6935276590,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.2,0.0.0.0.2.2.0
105,ocds-591adf-7793227103,3,3.0,3.0.0,3.0.0.3,3.0.0.3.1,3.0.0.3.1,3.0.0.3.1
106,ocds-591adf-5317018229,3,3.3,3.3.1,3.3.1.1,3.3.1.1,3.3.1.1,3.3.1.1
107,ocds-591adf-7093801876,0,0.0,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2
108,ocds-591adf-2269582291,3,3.1,3.1.0,3.1.0.0,3.1.0.0.0,3.1.0.0.0,3.1.0.0.0
109,ocds-591adf-3157711052,0,0.0,0.0.10,0.0.10.2,0.0.10.2,0.0.10.2,0.0.10.2
110,ocds-591adf-3316958152,0,0.0,0.0.0,0.0.0.2,0.0.0.2.0,0.0.0.2.0,0.0.0.2.0
111,ocds-591adf-6326691263,0,0.0,0.0.8,0.0.8.2,0.0.8.2.0,0.0.8.2.0.1,0.0.8.2.0.1
112,ocds-591adf-9201648630,3,3.1,3.1.4,3.1.4.1,3.1.4.1,3.1.4.1,3.1.4.1
113,ocds-591adf-9115310768,3,3.1,3.1.1,3.1.1.1,3.1.1.1.2,3.1.1.1.2,3.1.1.1.2
114,ocds-591adf-8820234307,3,3.1,3.1.1,3.1.1.1,3.1.1.1.2,3.1.1.1.2,3.1.1.1.2
115,ocds-591adf-9669671805,0,0.0,0.0.1,0.0.1.1,0.0.1.1,0.0.1.1,0.0.1.1
116,ocds-591adf-0616817020,3,3.1,3.1.0,3.1.0.2,3.1.0.2.1,3.1.0.2.1.1,3.1.0.2.1.1
117,ocds-591adf-0855371527,3,3.1,3.1.1,3.1.1.2,3.1.1.2.1,3.1.1.2.1,3.1.1.2.1
118,ocds-591adf-0921285528,3,3.1,3.1.1,3.1.1.0,3.1.1.0,3.1.1.0,3.1.1.0
119,ocds-591adf-7718448031,3,3.1,3.1.1,3.1.1.1,3.1.1.1.1,3.1.1.1.1,3.1.1.1.1
120,ocds-591adf-0737892348,3,3.1,3.1.5,3.1.5,3.1.5,3.1.5,3.1.5
121,ocds-591adf-2862910055,3,3.1,3.1.6,3.1.6.1,3.1.6.1,3.1.6.1,3.1.6.1
122,ocds-591adf-7818544606,3,3.0,3.0.0,3.0.0.0,3.0.0.0.1,3.0.0.0.1.0,3.0.0.0.1.0
123,ocds-591adf-4909665590,0,0.7,0.7.1,0.7.1,0.7.1,0.7.1,0.7.1
124,ocds-591adf-1432977950,3,3.1,3.1.1,3.1.1.1,3.1.1.1.0,3.1.1.1.0,3.1.1.1.0
125,ocds-591adf-6800054916,3,3.1,3.1.0,3.1.0.2,3.1.0.2.1,3.1.0.2.1.1,3.1.0.2.1.1
126,ocds-591adf-3437474455,3,3.1,3.1.3,3.1.3.2,3.1.3.2,3.1.3.2,3.1.3.2
127,ocds-591adf-7212601903,3,3.1,3.1.0,3.1.0.2,3.1.0.2.1,3.1.0.2.1.1,3.1.0.2.1.1
128,ocds-591adf-8001318248,3,3.1,3.1.0,3.1.0.0,3.1.0.0.0,3.1.0.0.0,3.1.0.0.0
129,ocds-591adf-8307320141,3,3.1,3.1.1,3.1.1.1,3.1.1.1.0,3.1.1.1.0,3.1.1.1.0
130,ocds-591adf-2635755922,3,3.1,3.1.1,3.1.1.1,3.1.1.1.0,3.1.1.1.0,3.1.1.1.0
131,ocds-591adf-6187166467,3,3.1,3.1.0,3.1.0.1,3.1.0.1.1,3.1.0.1.1,3.1.0.1.1
132,ocds-591adf-6237477089,3,3.1,3.1.0,3.1.0.1,3.1.0.1.0,3.1.0.1.0,3.1.0.1.0
133,ocds-591adf-0925073922,3,3.1,3.1.0,3.1.0.1,3.1.0.1.0,3.1.0.1.0,3.1.0.1.0
134,ocds-591adf-0621960018,8,8.1,8.1.0,8.1.0.0,8.1.0.0.0,8.1.0.0.0.1,8.1.0.0.0.1.0
135,ocds-591adf-2096071243,3,3.1,3.1.0,3.1.0.0,3.1.0.0.0,3.1.0.0.0,3.1.0.0.0
136,ocds-591adf-2458536233,3,3.1,3.1.0,3.1.0.2,3.1.0.2.1,3.1.0.2.1.0,3.1.0.2.1.0
137,ocds-591adf-3303812608,3,3.1,3.1.1,3.1.1.2,3.1.1.2.1,3.1.1.2.1,3.1.1.2.1
138,ocds-591adf-4038692961,9,9.2,9.2.0,9.2.0.1,9.2.0.1,9.2.0.1,9.2.0.1
139,ocds-591adf-4257220858,8,8.4,8.4.1,8.4.1.0,8.4.1.0,8.4.1.0,8.4.1.0
140,ocds-591adf-3262972300,0,0.2,0.2.2,0.2.2.0,0.2.2.0.0,0.2.2.0.0,0.2.2.0.0
141,ocds-591adf-5861877010,0,0.2,0.2.2,0.2.2.0,0.2.2.0.1,0.2.2.0.1,0.2.2.0.1
142,ocds-591adf-7278935628,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
143,ocds-591adf-7334077617,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
144,ocds-591adf-9143924043,8,8.4,8.4.0,8.4.0,8.4.0,8.4.0,8.4.0
145,ocds-591adf-3498512231,0,0.8,0.8.1,0.8.1.2,0.8.1.2,0.8.1.2,0.8.1.2
146,ocds-591adf-1834156729,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
147,ocds-591adf-5325704581,0,0.1,0.1.1,0.1.1.1,0.1.1.1.0,0.1.1.1.0.1,0.1.1.1.0.1
148,ocds-591adf-1551829611,0,0.1,0.1.1,0.1.1.0,0.1.1.0.0,0.1.1.0.0.1,0.1.1.0.0.1
149,ocds-591adf-1398905143,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
150,ocds-591adf-3124740910,0,0.1,0.1.1,0.1.1.0,0.1.1.0.0,0.1.1.0.0.1,0.1.1.0.0.1
151,ocds-591adf-7183088348,0,0.1,0.1.1,0.1.1.0,0.1.1.0.2,0.1.1.0.2,0.1.1.0.2
152,ocds-591adf-7785290402,0,0.1,0.1.1,0.1.1.1,0.1.1.1.0,0.1.1.1.0.0,0.1.1.1.0.0
153,ocds-591adf-3266781739,0,0.1,0.1.0,0.1.0.0,0.1.0.0.0,0.1.0.0.0,0.1.0.0.0
154,ocds-591adf-4628168337,0,0.1,0.1.1,0.1.1.0,0.1.1.0.1,0.1.1.0.1,0.1.1.0.1
155,ocds-591adf-0523462294,0,0.0,0.0.10,0.0.10.2,0.0.10.2,0.0.10.2,0.0.10.2
156,ocds-591adf-5095341388,0,0.2,0.2.5,0.2.5,0.2.5,0.2.5,0.2.5
157,ocds-591adf-0673203082,8,8.2,8.2.2,8.2.2.0,8.2.2.0,8.2.2.0,8.2.2.0
158,ocds-591adf-6438201695,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
159,ocds-591adf-8256689662,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
160,ocds-591adf-5807033310,9,9.2,9.2.1,9.2.1,9.2.1,9.2.1,9.2.1
161,ocds-591adf-8495627494,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
162,ocds-591adf-7505781090,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
163,ocds-591adf-3222702771,0,0.0,0.0.5,0.0.5.0,0.0.5.0,0.0.5.0,0.0.5.0
164,ocds-591adf-5265824533,0,0.2,0.2.6,0.2.6.0,0.2.6.0,0.2.6.0,0.2.6.0
165,ocds-591adf-8168589938,0,0.2,0.2.6,0.2.6.1,0.2.6.1,0.2.6.1,0.2.6.1
166,ocds-591adf-6998213818,0,0.1,0.1.1,0.1.1.1,0.1.1.1.0,0.1.1.1.0.1,0.1.1.1.0.1
167,ocds-591adf-0624045737,0,0.1,0.1.1,0.1.1.0,0.1.1.0.1,0.1.1.0.1,0.1.1.0.1
168,ocds-591adf-9824115736,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
169,ocds-591adf-2611980689,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
170,ocds-591adf-2310200643,8,8.4,8.4.1,8.4.1.0,8.4.1.0,8.4.1.0,8.4.1.0
171,ocds-591adf-1169226658,8,8.4,8.4.1,8.4.1.0,8.4.1.0,8.4.1.0,8.4.1.0
172,ocds-591adf-1746374385,8,8.4,8.4.0,8.4.0,8.4.0,8.4.0,8.4.0
173,ocds-591adf-6217821664,8,8.4,8.4.1,8.4.1.1,8.4.1.1,8.4.1.1,8.4.1.1
174,ocds-591adf-7726380026,8,8.2,8.2.2,8.2.2.1,8.2.2.1,8.2.2.1,8.2.2.1
175,ocds-591adf-9928018094,0,0.1,0.1.1,0.1.1.0,0.1.1.0.2,0.1.1.0.2,0.1.1.0.2
176,ocds-591adf-6452502161,0,0.1,0.1.0,0.1.0.0,0.1.0.0.0,0.1.0.0.0,0.1.0.0.0
177,ocds-591adf-2219177832,0,0.1,0.1.1,0.1.1.0,0.1.1.0.2,0.1.1.0.2,0.1.1.0.2
178,ocds-591adf-5972950624,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
179,ocds-591adf-3122094392,0,0.0,0.0.10,0.0.10.1,0.0.10.1,0.0.10.1,0.0.10.1
180,ocds-591adf-7940214801,0,0.0,0.0.10,0.0.10.1,0.0.10.1,0.0.10.1,0.0.10.1
181,ocds-591adf-5252856192,8,8.3,8.3.1,8.3.1,8.3.1,8.3.1,8.3.1
182,ocds-591adf-0748908016,8,8.3,8.3.1,8.3.1,8.3.1,8.3.1,8.3.1
183,ocds-591adf-6346790077,8,8.3,8.3.1,8.3.1,8.3.1,8.3.1,8.3.1
184,ocds-591adf-0812718718,3,3.0,3.0.2,3.0.2.0,3.0.2.0.0,3.0.2.0.0,3.0.2.0.0
185,ocds-591adf-0358603254,4,4.1,4.1.0,4.1.0.3,4.1.0.3.0,4.1.0.3.0.0,4.1.0.3.0.0
186,ocds-591adf-4712380251,4,4.1,4.1.1,4.1.1.0,4.1.1.0,4.1.1.0,4.1.1.0
187,ocds-591adf-5301138756,0,0.8,0.8.1,0.8.1.3,0.8.1.3,0.8.1.3,0.8.1.3
188,ocds-591adf-7120819444,0,0.8,0.8.2,0.8.2,0.8.2,0.8.2,0.8.2
189,ocds-591adf-7534708827,0,0.8,0.8.2,0.8.2,0.8.2,0.8.2,0.8.2
190,ocds-591adf-8808998078,0,0.2,0.2.4,0.2.4.1,0.2.4.1,0.2.4.1,0.2.4.1
191,ocds-591adf-3153988550,0,0.2,0.2.6,0.2.6.0,0.2.6.0,0.2.6.0,0.2.6.0
192,ocds-591adf-0624472233,4,4.0,4.0.0,4.0.0.1,4.0.0.1,4.0.0.1,4.0.0.1
193,ocds-591adf-1406548730,4,4.1,4.1.2,4.1.2,4.1.2,4.1.2,4.1.2
194,ocds-591adf-5025757871,4,4.0,4.0.0,4.0.0.0,4.0.0.0,4.0.0.0,4.0.0.0
195,ocds-591adf-2236979409,4,4.0,4.0.0,4.0.0.0,4.0.0.0,4.0.0.0,4.0.0.0
196,ocds-591adf-7769269550,4,4.1,4.1.1,4.1.1.1,4.1.1.1.1,4.1.1.1.1,4.1.1.1.1
197,ocds-591adf-2720415109,4,4.1,4.1.0,4.1.0.3,4.1.0.3.1,4.1.0.3.1,4.1.0.3.1
198,ocds-591adf-0432750635,4,4.1,4.1.0,4.1.0.3,4.1.0.3.0,4.1.0.3.0.0,4.1.0.3.0.0
199,ocds-591adf-1319646931,4,4.1,4.1.0,4.1.0.3,4.1.0.3.0,4.1.0.3.0.1,4.1.0.3.0.1
200,ocds-591adf-4645641333,4,4.1,4.1.0,4.1.0.3,4.1.0.3.1,4.1.0.3.1,4.1.0.3.1
201,ocds-591adf-5019959439,0,0.3,0.3.1,0.3.1.1,0.3.1.1.0,0.3.1.1.0,0.3.1.1.0
202,ocds-591adf-1304252678,0,0.3,0.3.1,0.3.1.1,0.3.1.1.1,0.3.1.1.1,0.3.1.1.1
203,ocds-591adf-4478492664,4,4.1,4.1.2,4.1.2,4.1.2,4.1.2,4.1.2
204,ocds-591adf-2786162362,0,0.2,0.2.4,0.2.4.1,0.2.4.1,0.2.4.1,0.2.4.1
205,ocds-591adf-4132803471,4,4.0,4.0.0,4.0.0.2,4.0.0.2,4.0.0.2,4.0.0.2
206,ocds-591adf-0612033463,0,0.2,0.2.4,0.2.4.1,0.2.4.1,0.2.4.1,0.2.4.1
207,ocds-591adf-4291933927,0,0.2,0.2.4,0.2.4.1,0.2.4.1,0.2.4.1,0.2.4.1
208,ocds-591adf-5604659447,4,4.1,4.1.2,4.1.2,4.1.2,4.1.2,4.1.2
209,ocds-591adf-4772500162,0,0.6,0.6.2,0.6.2,0.6.2,0.6.2,0.6.2
210,ocds-591adf-9907878295,10,10,10,10,10,10,10
211,ocds-591adf-0271007010,0,0.0,0.0.8,0.0.8.2,0.0.8.2.0,0.0.8.2.0.0,0.0.8.2.0.0
212,ocds-591adf-0971105244,0,0.4,0.4.0,0.4.0.1,0.4.0.1,0.4.0.1,0.4.0.1
213,ocds-591adf-6465961214,0,0.6,0.6.2,0.6.2,0.6.2,0.6.2,0.6.2
214,ocds-591adf-0951831892,11,11,11,11,11,11,11
215,ocds-591adf-7104921871,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
216,ocds-591adf-7950887599,11,11,11,11,11,11,11
217,ocds-591adf-1648164093,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
218,ocds-591adf-1348839751,0,0.8,0.8.1,0.8.1.1,0.8.1.1,0.8.1.1,0.8.1.1
219,ocds-591adf-1006260515,0,0.0,0.0.10,0.0.10.0,0.0.10.0,0.0.10.0,0.0.10.0
220,ocds-591adf-5639947926,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.1,0.0.0.0.1.1
221,ocds-591adf-1625819385,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
222,ocds-591adf-5518179157,0,0.3,0.3.2,0.3.2.0,0.3.2.0.1,0.3.2.0.1,0.3.2.0.1
223,ocds-591adf-6980768373,0,0.5,0.5.2,0.5.2,0.5.2,0.5.2,0.5.2
224,ocds-591adf-6764376338,0,0.3,0.3.2,0.3.2.0,0.3.2.0.0,0.3.2.0.0,0.3.2.0.0
225,ocds-591adf-1458652954,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
226,ocds-591adf-2339126006,0,0.4,0.4.0,0.4.0.0,0.4.0.0,0.4.0.0,0.4.0.0
227,ocds-591adf-4901961894,4,4.1,4.1.0,4.1.0.0,4.1.0.0,4.1.0.0,4.1.0.0
228,ocds-591adf-5185765046,4,4.1,4.1.0,4.1.0.2,4.1.0.2.0,4.1.0.2.0,4.1.0.2.0
229,ocds-591adf-6901069067,4,4.1,4.1.0,4.1.0.0,4.1.0.0,4.1.0.0,4.1.0.0
230,ocds-591adf-5841633425,4,4.0,4.0.0,4.0.0.1,4.0.0.1,4.0.0.1,4.0.0.1
231,ocds-591adf-0745521051,4,4.0,4.0.1,4.0.1.2,4.0.1.2.1,4.0.1.2.1,4.0.1.2.1
232,ocds-591adf-1071407854,4,4.0,4.0.1,4.0.1.2,4.0.1.2.1,4.0.1.2.1,4.0.1.2.1
233,ocds-591adf-8785384336,4,4.1,4.1.0,4.1.0.1,4.1.0.1.1,4.1.0.1.1.1,4.1.0.1.1.1
234,ocds-591adf-4123523800,4,4.1,4.1.0,4.1.0.1,4.1.0.1.1,4.1.0.1.1.1,4.1.0.1.1.1
235,ocds-591adf-4320292802,4,4.1,4.1.0,4.1.0.1,4.1.0.1.1,4.1.0.1.1.1,4.1.0.1.1.1
236,ocds-591adf-4824016790,4,4.1,4.1.1,4.1.1.1,4.1.1.1.0,4.1.1.1.0,4.1.1.1.0
237,ocds-591adf-8078738904,3,3.1,3.1.1,3.1.1.1,3.1.1.1.1,3.1.1.1.1,3.1.1.1.1
238,ocds-591adf-9399783777,3,3.1,3.1.0,3.1.0.1,3.1.0.1.0,3.1.0.1.0,3.1.0.1.0
239,ocds-591adf-6822122534,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
240,ocds-591adf-8586378215,3,3.1,3.1.2,3.1.2.1,3.1.2.1,3.1.2.1,3.1.2.1
241,ocds-591adf-4935777771,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.0,0.0.0.0.1.0.1
242,ocds-591adf-6664008036,3,3.5,3.5.0,3.5.0,3.5.0,3.5.0,3.5.0
243,ocds-591adf-3896093794,0,0.8,0.8.0,0.8.0.1,0.8.0.1,0.8.0.1,0.8.0.1
244,ocds-591adf-9762278042,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
245,ocds-591adf-9959911142,3,3.5,3.5.1,3.5.1.0,3.5.1.0,3.5.1.0,3.5.1.0
246,ocds-591adf-9283912352,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
247,ocds-591adf-9240147546,3,3.4,3.4.2,3.4.2,3.4.2,3.4.2,3.4.2
248,ocds-591adf-5778004498,3,3.4,3.4.0,3.4.0.1,3.4.0.1,3.4.0.1,3.4.0.1
249,ocds-591adf-1592202126,3,3.4,3.4.0,3.4.0.1,3.4.0.1,3.4.0.1,3.4.0.1
250,ocds-591adf-9734313855,3,3.4,3.4.2,3.4.2,3.4.2,3.4.2,3.4.2
251,ocds-591adf-0179041608,3,3.4,3.4.2,3.4.2,3.4.2,3.4.2,3.4.2
252,ocds-591adf-2342209022,0,0.7,0.7.1,0.7.1,0.7.1,0.7.1,0.7.1
253,ocds-591adf-6297501032,0,0.2,0.2.1,0.2.1.1,0.2.1.1,0.2.1.1,0.2.1.1
254,ocds-591adf-2364066400,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1
255,ocds-591adf-0775315324,1,1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
256,ocds-591adf-0999271614,12,12,12,12,12,12,12
257,ocds-591adf-2514725846,12,12,12,12,12,12,12
258,ocds-591adf-3556799773,0,0.9,0.9,0.9,0.9,0.9,0.9
259,ocds-591adf-4335802553,0,0.8,0.8.0,0.8.0.1,0.8.0.1,0.8.0.1,0.8.0.1
260,ocds-591adf-5545997817,0,0.0,0.0.11,0.0.11.1,0.0.11.1,0.0.11.1,0.0.11.1
261,ocds-591adf-3232305854,0,0.0,0.0.11,0.0.11.1,0.0.11.1,0.0.11.1,0.0.11.1
262,ocds-591adf-8938335769,8,8.2,8.2.0,8.2.0,8.2.0,8.2.0,8.2.0
263,ocds-591adf-3314121968,8,8.2,8.2.0,8.2.0,8.2.0,8.2.0,8.2.0
264,ocds-591adf-3407308771,8,8.2,8.2.0,8.2.0,8.2.0,8.2.0,8.2.0
265,ocds-591adf-2245683705,8,8.2,8.2.0,8.2.0,8.2.0,8.2.0,8.2.0
266,ocds-591adf-8715839071,8,8.2,8.2.1,8.2.1.0,8.2.1.0,8.2.1.0,8.2.1.0
267,ocds-591adf-8192707206,8,8.2,8.2.1,8.2.1.0,8.2.1.0,8.2.1.0,8.2.1.0
268,ocds-591adf-3843755960,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,8.1.1.1.1,8.1.1.1.1
269,ocds-591adf-4582194938,0,0.1,0.1.0,0.1.0.0,0.1.0.0.1,0.1.0.0.1,0.1.0.0.1
270,ocds-591adf-9753464836,0,0.0,0.0.7,0.0.7.2,0.0.7.2.1,0.0.7.2.1,0.0.7.2.1
271,ocds-591adf-4109359446,0,0.0,0.0.7,0.0.7.2,0.0.7.2.1,0.0.7.2.1,0.0.7.2.1
272,ocds-591adf-9304437399,9,9.1,9.1.1,9.1.1,9.1.1,9.1.1,9.1.1
273,ocds-591adf-2803262551,9,9.1,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2
274,ocds-591adf-8182388352,9,9.1,9.1.0,9.1.0,9.1.0,9.1.0,9.1.0
275,ocds-591adf-4621680086,9,9.1,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2
276,ocds-591adf-9274917100,9,9.1,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2
277,ocds-591adf-7817707806,9,9.1,9.1.1,9.1.1,9.1.1,9.1.1,9.1.1
278,ocds-591adf-8794785015,9,9.1,9.1.2,9.1.2,9.1.2,9.1.2,9.1.2
279,ocds-591adf-2794595508,9,9.1,9.1.1,9.1.1,9.1.1,9.1.1,9.1.1
280,ocds-591adf-7883996937,1,1.2,1.2,1.2,1.2,1.2,1.2
281,ocds-591adf-9777809641,1,1.2,1.2,1.2,1.2,1.2,1.2
282,ocds-591adf-1131018532,8,8.4,8.4.1,8.4.1.0,8.4.1.0,8.4.1.0,8.4.1.0
283,ocds-591adf-8080364797,8,8.4,8.4.1,8.4.1.1,8.4.1.1,8.4.1.1,8.4.1.1
284,ocds-591adf-3064471719,0,0.0,0.0.9,0.0.9.1,0.0.9.1.0,0.0.9.1.0,0.0.9.1.0
285,ocds-591adf-4227152899,8,8.4,8.4.0,8.4.0,8.4.0,8.4.0,8.4.0
286,ocds-591adf-0639959550,0,0.0,0.0.9,0.0.9.1,0.0.9.1.1,0.0.9.1.1,0.0.9.1.1
287,ocds-591adf-1717693346,0,0.0,0.0.9,0.0.9.0,0.0.9.0.1,0.0.9.0.1,0.0.9.0.1
288,ocds-591adf-8225982147,0,0.0,0.0.9,0.0.9.2,0.0.9.2.0,0.0.9.2.0,0.0.9.2.0
289,ocds-591adf-4493079584,9,9.0,9.0.0,9.0.0.0,9.0.0.0,9.0.0.0,9.0.0.0
290,ocds-591adf-8374292499,8,8.1,8.1.1,8.1.1.0,8.1.1.0,8.1.1.0,8.1.1.0
291,ocds-591adf-7986289626,8,8.2,8.2.1,8.2.1.0,8.2.1.0,8.2.1.0,8.2.1.0
292,ocds-591adf-5231571717,0,0.7,0.7.0,0.7.0.0,0.7.0.0,0.7.0.0,0.7.0.0
293,ocds-591adf-1540020834,8,8.1,8.1.0,8.1.0.2,8.1.0.2,8.1.0.2,8.1.0.2
294,ocds-591adf-4370598028,8,8.1,8.1.0,8.1.0.2,8.1.0.2,8.1.0.2,8.1.0.2
295,ocds-591adf-4171377586,8,8.1,8.1.1,8.1.1.0,8.1.1.0,8.1.1.0,8.1.1.0
296,ocds-591adf-9935055270,13,13.1,13.1.1,13.1.1,13.1.1,13.1.1,13.1.1
297,ocds-591adf-9803917004,8,8.0,8.0.0,8.0.0,8.0.0,8.0.0,8.0.0
298,ocds-591adf-2016664905,8,8.2,8.2.0,8.2.0,8.2.0,8.2.0,8.2.0
299,ocds-591adf-4424676733,8,8.1,8.1.0,8.1.0.0,8.1.0.0.1,8.1.0.0.1,8.1.0.0.1
300,ocds-591adf-0392502659,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
301,ocds-591adf-6054858805,9,9.2,9.2.1,9.2.1,9.2.1,9.2.1,9.2.1
302,ocds-591adf-6025391075,9,9.2,9.2.1,9.2.1,9.2.1,9.2.1,9.2.1
303,ocds-591adf-4212712774,9,9.0,9.0.1,9.0.1.1,9.0.1.1,9.0.1.1,9.0.1.1
304,ocds-591adf-0102398591,9,9.1,9.1.1,9.1.1,9.1.1,9.1.1,9.1.1
305,ocds-591adf-5063934735,13,13.1,13.1.1,13.1.1,13.1.1,13.1.1,13.1.1
306,ocds-591adf-7912152192,13,13.1,13.1.1,13.1.1,13.1.1,13.1.1,13.1.1
307,ocds-591adf-2311124573,13,13.1,13.1.1,13.1.1,13.1.1,13.1.1,13.1.1
308,ocds-591adf-8258374587,8,8.0,8.0.0,8.0.0,8.0.0,8.0.0,8.0.0
309,ocds-591adf-4654148810,8,8.1,8.1.2,8.1.2.1,8.1.2.1,8.1.2.1,8.1.2.1
310,ocds-591adf-7191720844,9,9.2,9.2.0,9.2.0.0,9.2.0.0,9.2.0.0,9.2.0.0
