,ocid,template
177,ocds-591adf-2219177832,1A
178,ocds-591adf-5972950624,1B
179,ocds-591adf-3122094392,1B
180,ocds-591adf-7940214801,1A
181,ocds-591adf-5252856192,3B
182,ocds-591adf-0748908016,3B
183,ocds-591adf-6346790077,3B
184,ocds-591adf-0812718718,2B
185,ocds-591adf-0358603254,2A
186,ocds-591adf-4712380251,2A
187,ocds-591adf-5301138756,1C
188,ocds-591adf-7120819444,1B
189,ocds-591adf-7534708827,1B
190,ocds-591adf-8808998078,1B
191,ocds-591adf-3153988550,1A
192,ocds-591adf-0624472233,2A
193,ocds-591adf-1406548730,2A
194,ocds-591adf-5025757871,2A
195,ocds-591adf-2236979409,2A
196,ocds-591adf-7769269550,2A
197,ocds-591adf-2720415109,2A
198,ocds-591adf-0432750635,2A
199,ocds-591adf-1319646931,2A
200,ocds-591adf-4645641333,2A
201,ocds-591adf-5019959439,1B
202,ocds-591adf-1304252678,1B
203,ocds-591adf-4478492664,2A
204,ocds-591adf-2786162362,1A
205,ocds-591adf-4132803471,2A
206,ocds-591adf-0612033463,1B
207,ocds-591adf-4291933927,1A
208,ocds-591adf-5604659447,2A
209,ocds-591adf-4772500162,1A
210,ocds-591adf-9907878295,1B
211,ocds-591adf-0271007010,1A
212,ocds-591adf-0971105244,1B
213,ocds-591adf-6465961214,1A
214,ocds-591adf-0951831892,1B
215,ocds-591adf-7104921871,1A
216,ocds-591adf-7950887599,1B
217,ocds-591adf-1648164093,1A
218,ocds-591adf-1348839751,1A
219,ocds-591adf-1006260515,1B
220,ocds-591adf-5639947926,1C
221,ocds-591adf-1625819385,1A
222,ocds-591adf-5518179157,1C
223,ocds-591adf-6980768373,1B
224,ocds-591adf-6764376338,1B
225,ocds-591adf-1458652954,2A
226,ocds-591adf-2339126006,1B
227,ocds-591adf-4901961894,2A
228,ocds-591adf-5185765046,2A
229,ocds-591adf-6901069067,2A
230,ocds-591adf-5841633425,2A
231,ocds-591adf-0745521051,2A
232,ocds-591adf-1071407854,2A
233,ocds-591adf-8785384336,2A
234,ocds-591adf-4123523800,2A
235,ocds-591adf-4320292802,2A
236,ocds-591adf-4824016790,2A
237,ocds-591adf-8078738904,2C
238,ocds-591adf-9399783777,2A
239,ocds-591adf-6822122534,2B
240,ocds-591adf-8586378215,2A
241,ocds-591adf-4935777771,1C
242,ocds-591adf-6664008036,2A
243,ocds-591adf-3896093794,1A
244,ocds-591adf-9762278042,2C
245,ocds-591adf-9959911142,2B
246,ocds-591adf-9283912352,2C
247,ocds-591adf-9240147546,2A
248,ocds-591adf-5778004498,2A
249,ocds-591adf-1592202126,2A
250,ocds-591adf-9734313855,2A
251,ocds-591adf-0179041608,2A
252,ocds-591adf-2342209022,1A
253,ocds-591adf-6297501032,1A
254,ocds-591adf-2364066400,1A
255,ocds-591adf-0775315324,3B
256,ocds-591adf-0999271614,oneoff
257,ocds-591adf-2514725846,oneoff
258,ocds-591adf-3556799773,1A
259,ocds-591adf-4335802553,1A
260,ocds-591adf-5545997817,1A
261,ocds-591adf-3232305854,1B
262,ocds-591adf-8938335769,3B
263,ocds-591adf-3314121968,3B
264,ocds-591adf-3407308771,3B
265,ocds-591adf-2245683705,3B
266,ocds-591adf-8715839071,3B
267,ocds-591adf-8192707206,3B
268,ocds-591adf-3843755960,3B
269,ocds-591adf-4582194938,1A
270,ocds-591adf-9753464836,1A
271,ocds-591adf-4109359446,1A
272,ocds-591adf-9304437399,3A
273,ocds-591adf-2803262551,3A
274,ocds-591adf-8182388352,3A
275,ocds-591adf-4621680086,3A
276,ocds-591adf-9274917100,3A
277,ocds-591adf-7817707806,3A
278,ocds-591adf-8794785015,3A
279,ocds-591adf-2794595508,3A
280,ocds-591adf-7883996937,3B
281,ocds-591adf-9777809641,3B
282,ocds-591adf-1131018532,3A
283,ocds-591adf-8080364797,3A
284,ocds-591adf-3064471719,1A
285,ocds-591adf-4227152899,3A
286,ocds-591adf-0639959550,1A
287,ocds-591adf-1717693346,1C
288,ocds-591adf-8225982147,1A
289,ocds-591adf-4493079584,3A
290,ocds-591adf-8374292499,3A
291,ocds-591adf-7986289626,3A
292,ocds-591adf-5231571717,1A
293,ocds-591adf-1540020834,3A
294,ocds-591adf-4370598028,3A
295,ocds-591adf-4171377586,3A
296,ocds-591adf-9935055270,3B
297,ocds-591adf-9803917004,3A
298,ocds-591adf-2016664905,3B
299,ocds-591adf-4424676733,3A
300,ocds-591adf-0392502659,3A
301,ocds-591adf-6054858805,3A
302,ocds-591adf-6025391075,3A
303,ocds-591adf-4212712774,3A
304,ocds-591adf-0102398591,3A
305,ocds-591adf-5063934735,3B
306,ocds-591adf-7912152192,3B
307,ocds-591adf-2311124573,3B
308,ocds-591adf-8258374587,3B
309,ocds-591adf-4654148810,3A
310,ocds-591adf-7191720844,3A
311,ocds-591adf-7093724510,3A
312,ocds-591adf-0635276485,3A
313,ocds-591adf-0282645522,3A
314,ocds-591adf-5921220238,3A
315,ocds-591adf-2790333610,3A
316,ocds-591adf-1682951682,3A
317,ocds-591adf-5472217079,3A
318,ocds-591adf-6387856838,1C
319,ocds-591adf-6781195714,1B
320,ocds-591adf-3525416018,1A
321,ocds-591adf-4778033815,1A
322,ocds-591adf-4684953346,1A
323,ocds-591adf-0452027420,1A
324,ocds-591adf-0725247752,2C
325,ocds-591adf-1653821228,2C
326,ocds-591adf-4278971256,2C
327,ocds-591adf-3291421710,1B
328,ocds-591adf-6782493746,3B
329,ocds-591adf-1773665671,3B
330,ocds-591adf-3732969455,3A
331,ocds-591adf-9547768832,3A
332,ocds-591adf-5877840504,1B
333,ocds-591adf-2461556641,2C
334,ocds-591adf-9793996799,2A
335,ocds-591adf-3398398402,1B
336,ocds-591adf-5670442428,2A
337,ocds-591adf-3232099165,2A
338,ocds-591adf-5864859645,3B
339,ocds-591adf-1446070394,2C
340,ocds-591adf-3025980849,1B
341,ocds-591adf-9581547683,1C
342,ocds-591adf-1623268944,1C
343,ocds-591adf-1468696395,1A
344,ocds-591adf-3282184821,1A
345,ocds-591adf-8006566420,1B
346,ocds-591adf-2929284826,1B
347,ocds-591adf-3868054894,1A
348,ocds-591adf-9952953820,3B
349,ocds-591adf-4655560553,3B
350,ocds-591adf-8292727807,1B
351,ocds-591adf-5187167862,2C
352,ocds-591adf-9585889698,2A
353,ocds-591adf-0794043416,2C
354,ocds-591adf-7956236667,2C
355,ocds-591adf-0818116201,2C
356,ocds-591adf-6447452213,2A
357,ocds-591adf-2708910949,3B
358,ocds-591adf-1728453156,2C
359,ocds-591adf-2173819973,2A
360,ocds-591adf-8829493091,2A
361,ocds-591adf-5573905643,2A
362,ocds-591adf-2914071981,2A
363,ocds-591adf-8309911494,2A
364,ocds-591adf-2354828177,2A
365,ocds-591adf-4532921009,2A
366,ocds-591adf-6884489067,2A
367,ocds-591adf-1212255351,2A
368,ocds-591adf-6159269475,2A
369,ocds-591adf-0329969692,2A
370,ocds-591adf-7876582028,2B
371,ocds-591adf-9614633875,2A
372,ocds-591adf-4126162216,2A
373,ocds-591adf-1646757982,2A
374,ocds-591adf-9279619856,2A
375,ocds-591adf-0195471540,2B
376,ocds-591adf-4256986882,2A
377,ocds-591adf-6223535439,2B
378,ocds-591adf-9513647951,2A
379,ocds-591adf-8291017548,2B
380,ocds-591adf-4340569465,2C
381,ocds-591adf-9069819553,2C
382,ocds-591adf-7392078072,2C
383,ocds-591adf-7668743788,3A
384,ocds-591adf-7019279020,3B
385,ocds-591adf-7373772636,3B
386,ocds-591adf-9671561394,3B
387,ocds-591adf-4394332202,3B
388,ocds-591adf-2673437920,2A
389,ocds-591adf-7742398126,2A
390,ocds-591adf-3522869491,2A
391,ocds-591adf-6223009974,2A
392,ocds-591adf-9274016935,2A
393,ocds-591adf-6550040376,2A
394,ocds-591adf-9797336341,2A
395,ocds-591adf-0865738708,oneoff
396,ocds-591adf-3298436391,2A
397,ocds-591adf-6045242845,2A
398,ocds-591adf-3987260466,2A
399,ocds-591adf-1707765023,2A
400,ocds-591adf-3232596076,2B
401,ocds-591adf-8754689107,2B
402,ocds-591adf-0384305176,2B
403,ocds-591adf-6586431002,2B
404,ocds-591adf-9772125463,2B
405,ocds-591adf-4593039624,2B
406,ocds-591adf-7183003194,2B
407,ocds-591adf-6598130484,1B
408,ocds-591adf-0131932458,1A
409,ocds-591adf-9860696363,2B
410,ocds-591adf-8165050847,2B
411,ocds-591adf-3579530129,2B
412,ocds-591adf-2129008362,3B
413,ocds-591adf-8649797663,1C
414,ocds-591adf-2512096783,1B
415,ocds-591adf-6269628288,2B
416,ocds-591adf-8410434628,3B
417,ocds-591adf-3967759096,3B
418,ocds-591adf-8389267165,2B
419,ocds-591adf-2442991544,2B
420,ocds-591adf-7072066225,2B
421,ocds-591adf-0858102407,1C
422,ocds-591adf-1098953613,2B
423,ocds-591adf-4936090412,2B
424,ocds-591adf-4060184798,2B
425,ocds-591adf-6914808285,2B
426,ocds-591adf-0196832200,2B
427,ocds-591adf-5679260083,2B
428,ocds-591adf-6802373800,2B
429,ocds-591adf-9524747307,3A
430,ocds-591adf-3604158543,2B
431,ocds-591adf-2132329479,3B
432,ocds-591adf-2727436983,2B
433,ocds-591adf-3251239997,3B
434,ocds-591adf-4777602941,3B
435,ocds-591adf-3339136956,3B
436,ocds-591adf-3096170926,3A
437,ocds-591adf-6209593883,3A
438,ocds-591adf-7968305907,3A
439,ocds-591adf-7411546128,3B
440,ocds-591adf-1465592851,3A
441,ocds-591adf-8841944380,3A
442,ocds-591adf-5502075847,3B
443,ocds-591adf-9572710160,3B
444,ocds-591adf-2429560565,3B
445,ocds-591adf-5852837933,3A
446,ocds-591adf-6952213166,3B
447,ocds-591adf-2380665573,3B
448,ocds-591adf-3071501652,3B
449,ocds-591adf-1038726743,3B
