,ocid,template
775,ocds-591adf-5735524086,3B
776,ocds-591adf-2834590888,3A
777,ocds-591adf-0918711075,3A
778,ocds-591adf-1557880338,2B
779,ocds-591adf-7160759879,2B
780,ocds-591adf-3972422713,3A
781,ocds-591adf-5050631778,3B
782,ocds-591adf-6101890217,3A
783,ocds-591adf-3489610071,3A
784,ocds-591adf-4697175023,1A
785,ocds-591adf-8406258998,2C
786,ocds-591adf-1525694916,2A
787,ocds-591adf-6113163715,3B
788,ocds-591adf-7356438772,3A
789,ocds-591adf-5842281596,3A
790,ocds-591adf-1495612293,3B
791,ocds-591adf-2560580875,3A
792,ocds-591adf-1175980420,3A
793,ocds-591adf-3213850251,1A
794,ocds-591adf-2290683076,1C
795,ocds-591adf-3222625916,1C
796,ocds-591adf-2104563521,2C
797,ocds-591adf-3306467925,3B
798,ocds-591adf-7945637258,1B
799,ocds-591adf-5351039244,2A
800,ocds-591adf-8372045258,1A
801,ocds-591adf-2565867185,2A
802,ocds-591adf-3970511656,1C
803,ocds-591adf-7284594451,1C
804,ocds-591adf-7309139976,1B
805,ocds-591adf-2641884738,1B
806,ocds-591adf-0907900772,1A
807,ocds-591adf-7151047842,1B
808,ocds-591adf-6127005758,1B
809,ocds-591adf-1427685003,3A
810,ocds-591adf-5790278367,3A
811,ocds-591adf-0430095345,3A
812,ocds-591adf-8084760541,3A
813,ocds-591adf-8418648655,3A
814,ocds-591adf-9062019392,3A
815,ocds-591adf-2875278723,3A
816,ocds-591adf-5671551786,3A
817,ocds-591adf-8649591205,3A
818,ocds-591adf-2142895395,3A
819,ocds-591adf-7052435010,3A
820,ocds-591adf-0506940482,3A
821,ocds-591adf-5742489934,1A
822,ocds-591adf-3849458564,3A
823,ocds-591adf-1729407756,3A
824,ocds-591adf-2345256563,3A
825,ocds-591adf-2832539131,3A
826,ocds-591adf-6133633507,3A
827,ocds-591adf-7621688800,3A
828,ocds-591adf-9372360312,3A
829,ocds-591adf-1790554736,1A
830,ocds-591adf-0073976086,1A
831,ocds-591adf-8733736834,1A
832,ocds-591adf-6270187716,2A
833,ocds-591adf-0237904720,2A
834,ocds-591adf-5838344155,2A
835,ocds-591adf-7038321305,2A
836,ocds-591adf-0048000024,1C
837,ocds-591adf-9402339008,1A
838,ocds-591adf-6405225370,3B
839,ocds-591adf-5432334519,2A
840,ocds-591adf-3885815417,2A
841,ocds-591adf-0567930699,2A
842,ocds-591adf-8350674630,2A
843,ocds-591adf-1133439999,2A
844,ocds-591adf-6328981421,2A
845,ocds-591adf-7457426940,2A
846,ocds-591adf-8254959256,2A
847,ocds-591adf-0885560786,2A
848,ocds-591adf-7568305856,2A
849,ocds-591adf-2464468553,2A
850,ocds-591adf-1503083799,2A
851,ocds-591adf-7021319128,3A
852,ocds-591adf-4627474417,3A
853,ocds-591adf-7309505757,3A
854,ocds-591adf-7392828771,1A
855,ocds-591adf-0128347310,3A
856,ocds-591adf-3610601405,3A
857,ocds-591adf-8305944156,3B
858,ocds-591adf-9103477421,2B
859,ocds-591adf-6647672546,3B
860,ocds-591adf-9479842883,3A
861,ocds-591adf-3632117373,3A
862,ocds-591adf-6844414681,3A
863,ocds-591adf-4868375289,3B
864,ocds-591adf-3541607034,3B
865,ocds-591adf-3014563630,1C
866,ocds-591adf-2561344209,1C
867,ocds-591adf-5996211567,3B
868,ocds-591adf-5173064622,3A
869,ocds-591adf-5002996926,3A
870,ocds-591adf-6619573571,3B
871,ocds-591adf-8771416580,3B
872,ocds-591adf-8347903490,3B
873,ocds-591adf-1738863533,3A
874,ocds-591adf-5617783958,3A
875,ocds-591adf-7745396835,3B
876,ocds-591adf-6395827387,3A
877,ocds-591adf-5523323502,3A
878,ocds-591adf-9005998459,3A
879,ocds-591adf-2087022781,3B
880,ocds-591adf-3311940054,1A
881,ocds-591adf-0046337559,1A
882,ocds-591adf-2132876714,3A
883,ocds-591adf-6931884027,3A
884,ocds-591adf-9826942661,1C
885,ocds-591adf-5062562123,1A
886,ocds-591adf-6899660250,1A
887,ocds-591adf-3082701403,1A
888,ocds-591adf-2840001526,1B
889,ocds-591adf-7480993358,1A
890,ocds-591adf-8471021702,3A
891,ocds-591adf-5640901528,3A
892,ocds-591adf-0520048668,3A
893,ocds-591adf-1049807701,1B
894,ocds-591adf-5349103523,3A
895,ocds-591adf-8253847981,3A
896,ocds-591adf-5719351202,3A
897,ocds-591adf-4092291755,3A
898,ocds-591adf-4817327311,3A
899,ocds-591adf-2630451739,3A
900,ocds-591adf-1830857083,3A
901,ocds-591adf-7082927540,1B
902,ocds-591adf-1890956908,1A
903,ocds-591adf-3508920677,1B
904,ocds-591adf-7434035023,3A
905,ocds-591adf-7671295348,3A
906,ocds-591adf-8579268357,3A
907,ocds-591adf-5982022106,1A
908,ocds-591adf-5881345323,3A
909,ocds-591adf-0768912686,3A
910,ocds-591adf-1017331670,1A
911,ocds-591adf-0418193876,1A
912,ocds-591adf-7033732387,1B
913,ocds-591adf-5693053473,3A
914,ocds-591adf-9013529796,3A
915,ocds-591adf-4327268852,3A
916,ocds-591adf-3924527989,3A
917,ocds-591adf-9163586575,3A
918,ocds-591adf-8816736443,3A
919,ocds-591adf-5022904621,3A
920,ocds-591adf-7289872662,3A
921,ocds-591adf-4209194789,3A
922,ocds-591adf-0098522464,3A
923,ocds-591adf-5648230406,1A
924,ocds-591adf-0902890112,1C
925,ocds-591adf-1137124220,3A
926,ocds-591adf-2444922495,3A
927,ocds-591adf-2132740097,1B
928,ocds-591adf-6304551722,1A
929,ocds-591adf-2771733988,2C
930,ocds-591adf-7189538042,1A
931,ocds-591adf-6888313191,1A
932,ocds-591adf-8992507217,1B
933,ocds-591adf-6551345017,3B
934,ocds-591adf-9672853193,1A
935,ocds-591adf-2060430881,3B
936,ocds-591adf-4815087699,3B
937,ocds-591adf-6639553481,1B
938,ocds-591adf-8754224127,1A
939,ocds-591adf-2448012715,2B
940,ocds-591adf-6820918614,3B
941,ocds-591adf-9499174502,1B
942,ocds-591adf-9984180115,1A
943,ocds-591adf-8091377248,2B
944,ocds-591adf-9611382739,2A
945,ocds-591adf-2206116801,2A
946,ocds-591adf-2949159236,2C
947,ocds-591adf-0084789846,2B
948,ocds-591adf-1879283204,2C
949,ocds-591adf-8729199682,2B
950,ocds-591adf-4330236320,2A
951,ocds-591adf-0330524527,2A
952,ocds-591adf-9203596613,2C
953,ocds-591adf-0659745175,2C
954,ocds-591adf-6765508752,2B
955,ocds-591adf-6905017020,2B
956,ocds-591adf-7097600866,2A
957,ocds-591adf-6683484306,2A
958,ocds-591adf-2820755710,2C
959,ocds-591adf-5901007417,3B
960,ocds-591adf-9303519076,2B
961,ocds-591adf-5599626237,2B
962,ocds-591adf-0403566793,2B
963,ocds-591adf-2323048442,2B
964,ocds-591adf-6733432127,2C
965,ocds-591adf-9503345719,2C
966,ocds-591adf-3007352093,2C
967,ocds-591adf-9511153762,2C
968,ocds-591adf-1025920833,2C
969,ocds-591adf-5458811172,2C
970,ocds-591adf-0864171697,2B
971,ocds-591adf-4975594142,2A
972,ocds-591adf-9678147772,2A
973,ocds-591adf-4427784387,2B
974,ocds-591adf-7502849066,2C
975,ocds-591adf-5896574846,2C
976,ocds-591adf-3760721022,2C
977,ocds-591adf-9515562347,3B
978,ocds-591adf-5520433530,2B
979,ocds-591adf-8116673375,2A
980,ocds-591adf-4046187347,2A
981,ocds-591adf-0940672274,2A
982,ocds-591adf-1019283522,2A
983,ocds-591adf-8691193848,oneoff
984,ocds-591adf-3135230141,2A
985,ocds-591adf-5935767031,2A
986,ocds-591adf-2903171387,2A
987,ocds-591adf-3479988382,2A
988,ocds-591adf-5549008607,2A
989,ocds-591adf-3993686006,2A
990,ocds-591adf-7027592904,2A
991,ocds-591adf-9487119280,2A
992,ocds-591adf-6647835520,2A
993,ocds-591adf-3098471462,2A
994,ocds-591adf-3682822226,2A
995,ocds-591adf-5606276477,2A
996,ocds-591adf-6818766222,2B
997,ocds-591adf-1704013534,2B
998,ocds-591adf-2816170620,2B
999,ocds-591adf-1920965082,2B
1000,ocds-591adf-5357825509,1B
1001,ocds-591adf-4313867617,2A
1002,ocds-591adf-6051705587,2A
1003,ocds-591adf-8994683757,2A
1004,ocds-591adf-4292786006,3A
1005,ocds-591adf-5851624654,2A
1006,ocds-591adf-2018725841,3A
1007,ocds-591adf-2666101950,3B
1008,ocds-591adf-6543179654,1A
1009,ocds-591adf-0648943319,1A
1010,ocds-591adf-0240741237,1A
1011,ocds-591adf-7159952315,2B
1012,ocds-591adf-2947803650,1A
1013,ocds-591adf-4616542302,1A
1014,ocds-591adf-8449657549,2B
1015,ocds-591adf-4002079239,1B
1016,ocds-591adf-2623317081,1A
1017,ocds-591adf-1045801310,1B
1018,ocds-591adf-7451096540,1A
1019,ocds-591adf-1440947345,1A
1020,ocds-591adf-0213607157,1A
1021,ocds-591adf-4847279287,1A
1022,ocds-591adf-8606020946,3A
1023,ocds-591adf-0593665649,1B
1024,ocds-591adf-5231394526,1B
1025,ocds-591adf-2549975919,1B
1026,ocds-591adf-7590925822,3B
1027,ocds-591adf-1548046121,3B
1028,ocds-591adf-8549514639,oneoff
1029,ocds-591adf-1658238869,1A
1030,ocds-591adf-9975874698,
1031,ocds-591adf-5792510988,1A
1032,ocds-591adf-9194346883,1A
1033,ocds-591adf-5920713915,1C
1034,ocds-591adf-2917943809,1C
1035,ocds-591adf-0431745646,1A
1036,ocds-591adf-5502782183,1C
1037,ocds-591adf-4621402481,1A
1038,ocds-591adf-7705086445,1C
1039,ocds-591adf-1394673190,1A
1040,ocds-591adf-0633880291,1C
1041,ocds-591adf-4013712466,1C
1042,ocds-591adf-8757641437,1C
1043,ocds-591adf-8808867910,1C
1044,ocds-591adf-9119482338,1A
1045,ocds-591adf-5185619420,1C
1046,ocds-591adf-2181723079,1A
1047,ocds-591adf-4659660417,1C
1048,ocds-591adf-1314860465,1A
1049,ocds-591adf-1333562032,1C
1050,ocds-591adf-1265870384,1A
1051,ocds-591adf-3741414378,1C
1052,ocds-591adf-3060927282,1B
1053,ocds-591adf-6802401911,oneoff
1054,ocds-591adf-0620475055,2C
1055,ocds-591adf-3332230439,2B
1056,ocds-591adf-0588923601,2C
1057,ocds-591adf-4340639228,2B
1058,ocds-591adf-1240639543,1A
1059,ocds-591adf-6264516286,1A
1060,ocds-591adf-3838178041,1A
1061,ocds-591adf-2656241484,1A
1062,ocds-591adf-3922793692,1A
1063,ocds-591adf-1661389950,1B
1064,ocds-591adf-8033884916,2C
1065,ocds-591adf-9016560520,2C
1066,ocds-591adf-5003575897,2C
1067,ocds-591adf-0014595575,1B
1068,ocds-591adf-2590553572,1B
1069,ocds-591adf-9845812582,1C
1070,ocds-591adf-9582550876,1C
1071,ocds-591adf-8885391601,1C
1072,ocds-591adf-8615583226,1A
1073,ocds-591adf-4818516752,1C
1074,ocds-591adf-2931082215,1C
1075,ocds-591adf-9686067103,1A
1076,ocds-591adf-3613857557,1A
1077,ocds-591adf-1966792682,1B
1078,ocds-591adf-8156065501,1A
1079,ocds-591adf-5298783412,1C
1080,ocds-591adf-0332165904,1B
1081,ocds-591adf-0663604054,1A
1082,ocds-591adf-2703407408,1A
1083,ocds-591adf-5523624675,1B
1084,ocds-591adf-0304280379,1A
1085,ocds-591adf-7492095230,1C
1086,ocds-591adf-8204510927,1A
1087,ocds-591adf-3948563141,1B
1088,ocds-591adf-0806975065,1C
1089,ocds-591adf-6716589315,1C
1090,ocds-591adf-1212784561,1C
1091,ocds-591adf-0174649252,1A
1092,ocds-591adf-5731033659,1A
1093,ocds-591adf-3791594481,1A
1094,ocds-591adf-2623185299,1A
1095,ocds-591adf-4516518284,3B
1096,ocds-591adf-2878207711,2A
1097,ocds-591adf-4691685152,2C
1098,ocds-591adf-4096682799,2B
1099,ocds-591adf-8755928578,2C
1100,ocds-591adf-3900695508,1B
1101,ocds-591adf-1600391941,2C
1102,ocds-591adf-5901301414,2A
1103,ocds-591adf-0628187731,1C
1104,ocds-591adf-6366754885,1A
1105,ocds-591adf-1195181754,1A
1106,ocds-591adf-5741668866,2C
1107,ocds-591adf-1761043738,1B
1108,ocds-591adf-5398780842,2A
1109,ocds-591adf-4649532779,1B
1110,ocds-591adf-9517241316,2C
1111,ocds-591adf-2716410569,2A
1112,ocds-591adf-0230753212,2B
1113,ocds-591adf-8935235821,2A
1114,ocds-591adf-6424799341,1C
1115,ocds-591adf-5611369110,2B
1116,ocds-591adf-0669110404,1C
1117,ocds-591adf-2341010686,1A
1118,ocds-591adf-3141538334,1C
1119,ocds-591adf-4127444144,2B
1120,ocds-591adf-6859350868,2B
1121,ocds-591adf-4751281499,2B
1122,ocds-591adf-4534496341,2B
1123,ocds-591adf-8608678728,2A
1124,ocds-591adf-3492744232,2B
1125,ocds-591adf-6207349867,1B
1126,ocds-591adf-4565806973,1C
1127,ocds-591adf-8710976138,1C
1128,ocds-591adf-4624088322,1C
1129,ocds-591adf-3691607772,3B
1130,ocds-591adf-9352687684,3B
1131,ocds-591adf-7608740185,1A
1132,ocds-591adf-9669096564,2C
1133,ocds-591adf-3612985124,1A
1134,ocds-591adf-9145827406,1B
1135,ocds-591adf-3091034155,1A
1136,ocds-591adf-2774693704,2C
1137,ocds-591adf-9949039362,1A
1138,ocds-591adf-2159924071,2C
1139,ocds-591adf-6600480891,1B
1140,ocds-591adf-4744093490,1B
1141,ocds-591adf-2187423240,1A
1142,ocds-591adf-9642814017,2C
1143,ocds-591adf-8606873912,2C
1144,ocds-591adf-3114095943,2B
1145,ocds-591adf-4565366391,2B
1146,ocds-591adf-5738530463,2A
1147,ocds-591adf-6904959112,2C
1148,ocds-591adf-6562585363,2C
1149,ocds-591adf-9736395382,1A
1150,ocds-591adf-3433899670,1A
1151,ocds-591adf-9771948110,1A
1152,ocds-591adf-8615350441,2A
1153,ocds-591adf-0420392779,2A
1154,ocds-591adf-7040396335,2C
1155,ocds-591adf-9224709687,1C
1156,ocds-591adf-3319097151,2B
1157,ocds-591adf-6179905611,2C
1158,ocds-591adf-5618674336,2C
1159,ocds-591adf-9593916956,1A
1160,ocds-591adf-4449736548,2B
1161,ocds-591adf-3188330579,2C
1162,ocds-591adf-7450628171,2C
1163,ocds-591adf-8383008052,2A
1164,ocds-591adf-1774464193,1C
1165,ocds-591adf-4094040303,2C
1166,ocds-591adf-0198796310,3B
1167,ocds-591adf-3171785702,3B
1168,ocds-591adf-7734540457,3A
1169,ocds-591adf-0503804484,2B
1170,ocds-591adf-0812804983,2B
1171,ocds-591adf-6141206684,3B
1172,ocds-591adf-2092682614,3B
1173,ocds-591adf-6791296927,3B
1174,ocds-591adf-3883739385,3A
1175,ocds-591adf-0986499713,3A
1176,ocds-591adf-9881948675,3A
1177,ocds-591adf-5389246503,3B
1178,ocds-591adf-0301330279,3A
1179,ocds-591adf-0344045224,2B
1180,ocds-591adf-8179112735,3B
1181,ocds-591adf-2048247319,3B
1182,ocds-591adf-3029744647,2C
1183,ocds-591adf-9020733792,2C
1184,ocds-591adf-4453903916,3A
1185,ocds-591adf-3081289934,3B
1186,ocds-591adf-2588426277,3B
1187,ocds-591adf-3011184362,2C
1188,ocds-591adf-0608183813,3B
1189,ocds-591adf-4707202416,3B
1190,ocds-591adf-6379664048,3B
1191,ocds-591adf-7524520202,1C
1192,ocds-591adf-4388708715,2B
1193,ocds-591adf-1265783068,2A
1194,ocds-591adf-7225608504,2A
1195,ocds-591adf-7184311755,2C
1196,ocds-591adf-3309587999,3B
1197,ocds-591adf-4521876477,3B
1198,ocds-591adf-6599179594,3B
1199,ocds-591adf-5929939263,1B
1200,ocds-591adf-0056582197,1A
1201,ocds-591adf-5307554205,1A
1202,ocds-591adf-6442097844,1A
1203,ocds-591adf-7037390087,1B
1204,ocds-591adf-7838898920,1A
1205,ocds-591adf-1594677361,1A
1206,ocds-591adf-2792396017,1C
1207,ocds-591adf-0060618096,1C
1208,ocds-591adf-6975899734,1A
1209,ocds-591adf-8908710232,1C
1210,ocds-591adf-2689260212,1A
1211,ocds-591adf-0096337208,1B
1212,ocds-591adf-3967385753,3B
1213,ocds-591adf-1848958139,3B
1214,ocds-591adf-1568309950,3B
1215,ocds-591adf-5786638779,3A
1216,ocds-591adf-9150743494,3A
1217,ocds-591adf-5989472247,3A
1218,ocds-591adf-4324635670,3A
1219,ocds-591adf-7327563851,3A
1220,ocds-591adf-2085291906,3A
1221,ocds-591adf-8643637433,3A
1222,ocds-591adf-6723230082,3A
1223,ocds-591adf-3181973910,3A
1224,ocds-591adf-0752286025,3A
1225,ocds-591adf-3075888689,3A
1226,ocds-591adf-0400780078,3A
1227,ocds-591adf-8906775765,3A
1228,ocds-591adf-7458972547,3A
1229,ocds-591adf-8331257008,3A
1230,ocds-591adf-2310104390,1C
1231,ocds-591adf-6952221104,3A
1232,ocds-591adf-2584622111,3A
1233,ocds-591adf-1767064014,3A
1234,ocds-591adf-7295077079,3A
1235,ocds-591adf-6429175624,1A
1236,ocds-591adf-9691553720,1A
1237,ocds-591adf-2617767522,1B
1238,ocds-591adf-0379777229,3A
1239,ocds-591adf-1331777791,1A
1240,ocds-591adf-0679010757,3A
1241,ocds-591adf-7628828931,3A
1242,ocds-591adf-6870000871,3A
1243,ocds-591adf-9235697275,3A
1244,ocds-591adf-4444263100,3B
1245,ocds-591adf-0932882685,3A
1246,ocds-591adf-2902998583,3A
1247,ocds-591adf-7057275896,3A
1248,ocds-591adf-0326372369,3A
1249,ocds-591adf-5307882831,3A
1250,ocds-591adf-1653267082,3A
1251,ocds-591adf-3743828893,3B
1252,ocds-591adf-8202164908,3A
1253,ocds-591adf-0141575617,3B
1254,ocds-591adf-5086452156,3A
1255,ocds-591adf-6174985044,3A
1256,ocds-591adf-9479773023,1B
1257,ocds-591adf-7862766066,1A
1258,ocds-591adf-8497132181,1A
1259,ocds-591adf-5268407026,1A
1260,ocds-591adf-9099026006,1A
1261,ocds-591adf-7506508600,3A
1262,ocds-591adf-5028419621,3A
1263,ocds-591adf-2371985819,1A
1264,ocds-591adf-3371057877,3A
1265,ocds-591adf-8732695537,3A
1266,ocds-591adf-7459663089,1A
1267,ocds-591adf-7015363530,1B
1268,ocds-591adf-5805290587,1B
1269,ocds-591adf-9205170350,1C
1270,ocds-591adf-7403197571,1A
1271,ocds-591adf-6070894490,1B
1272,ocds-591adf-3960665000,1B
1273,ocds-591adf-3002242705,3A
1274,ocds-591adf-0567221607,3A
1275,ocds-591adf-4748554506,3A
1276,ocds-591adf-3176007619,3A
1277,ocds-591adf-1992119758,3A
1278,ocds-591adf-9521831132,3A
1279,ocds-591adf-3874532072,3B
1280,ocds-591adf-3405488231,3A
1281,ocds-591adf-5024464049,1A
1282,ocds-591adf-0585175110,1A
1283,ocds-591adf-2371500394,1A
1284,ocds-591adf-1296215998,3A
1285,ocds-591adf-3205263116,3B
1286,ocds-591adf-5277394261,3A
1287,ocds-591adf-7408802973,3A
1288,ocds-591adf-4365587467,1C
1289,ocds-591adf-1189831873,3B
1290,ocds-591adf-7237200728,3A
1291,ocds-591adf-1016120280,3A
1292,ocds-591adf-0259621498,1A
1293,ocds-591adf-1909627745,3A
1294,ocds-591adf-2421163259,1B
1295,ocds-591adf-8227546396,1B
1296,ocds-591adf-7831399968,3A
1297,ocds-591adf-6343053440,3B
1298,ocds-591adf-2012372387,3A
1299,ocds-591adf-8678868440,3A
1300,ocds-591adf-0462882243,1B
1301,ocds-591adf-0768322156,1B
1302,ocds-591adf-0752512707,1A
1303,ocds-591adf-4251085025,1A
1304,ocds-591adf-8212060329,1A
1305,ocds-591adf-7619321296,1A
1306,ocds-591adf-3014822399,1A
1307,ocds-591adf-6272694158,1A
1308,ocds-591adf-2849121033,1A
1309,ocds-591adf-4380310584,1A
1310,ocds-591adf-4350636426,1B
1311,ocds-591adf-5449890166,1B
1312,ocds-591adf-7842827037,1A
1313,ocds-591adf-2394038626,2A
1314,ocds-591adf-2517060866,3B
1315,ocds-591adf-9627658771,3A
1316,ocds-591adf-3217280085,3A
1317,ocds-591adf-7478918284,3B
1318,ocds-591adf-1353467417,3B
1319,ocds-591adf-2247482343,3B
1320,ocds-591adf-2944436063,3B
1321,ocds-591adf-9575525455,1A
1322,ocds-591adf-5744526094,3B
1323,ocds-591adf-3045742924,1B
1324,ocds-591adf-0292784834,3B
1325,ocds-591adf-3906687826,3B
1326,ocds-591adf-2409086627,3B
1327,ocds-591adf-8237158457,3B
1328,ocds-591adf-7216315066,3A
1329,ocds-591adf-5920721951,3A
1330,ocds-591adf-9538718130,3A
1331,ocds-591adf-8323664793,3A
1332,ocds-591adf-3845912103,1A
1333,ocds-591adf-2223493595,3B
1334,ocds-591adf-2014046591,3A
1335,ocds-591adf-8301066061,3A
1336,ocds-591adf-1740575512,3A
1337,ocds-591adf-7122812153,3B
1338,ocds-591adf-6635241984,3B
1339,ocds-591adf-0472937784,3B
1340,ocds-591adf-5838470097,1B
1341,ocds-591adf-9620382408,3B
1342,ocds-591adf-0461174209,3B
1343,ocds-591adf-0773715511,3B
1344,ocds-591adf-4261917359,3B
1345,ocds-591adf-9640771314,1A
1346,ocds-591adf-9975631650,2B
1347,ocds-591adf-4472784968,2A
1348,ocds-591adf-6867665811,2B
1349,ocds-591adf-5264428938,2B
1350,ocds-591adf-1772757144,1B
1351,ocds-591adf-2138416337,2B
1352,ocds-591adf-7495895218,2B
1353,ocds-591adf-4516755417,2B
1354,ocds-591adf-1883627976,3B
1355,ocds-591adf-7119806732,1B
1356,ocds-591adf-9922636059,1B
1357,ocds-591adf-2228036438,1A
1358,ocds-591adf-7782456340,2B
1359,ocds-591adf-8811971883,2B
1360,ocds-591adf-3533551205,3B
1361,ocds-591adf-2032447165,3B
1362,ocds-591adf-4214910059,3B
1363,ocds-591adf-1396308637,3A
1364,ocds-591adf-6930897736,2B
1365,ocds-591adf-3903097607,2B
1366,ocds-591adf-0848679252,2B
1367,ocds-591adf-9773101959,2B
1368,ocds-591adf-3037303443,2B
1369,ocds-591adf-4460143117,2B
1370,ocds-591adf-4314867939,2B
1371,ocds-591adf-5433801589,2B
1372,ocds-591adf-9062421271,2B
1373,ocds-591adf-9306039169,2B
1374,ocds-591adf-1177779538,1A
1375,ocds-591adf-8700327622,2A
1376,ocds-591adf-3822580249,1A
1377,ocds-591adf-3762588852,1A
1378,ocds-591adf-6460579184,1A
1379,ocds-591adf-7143693099,1B
1380,ocds-591adf-3234824350,2A
1381,ocds-591adf-5579407168,2A
1382,ocds-591adf-8152849352,2A
1383,ocds-591adf-7121914031,2A
1384,ocds-591adf-4180129773,2A
1385,ocds-591adf-6349675951,1B
1386,ocds-591adf-0272793826,1A
1387,ocds-591adf-6116103360,1A
1388,ocds-591adf-7892747625,1A
1389,ocds-591adf-4828324785,1C
1390,ocds-591adf-4234090645,1C
1391,ocds-591adf-6062199430,1A
1392,ocds-591adf-0302852534,1B
1393,ocds-591adf-3760122620,1A
1394,ocds-591adf-4010782709,2B
1395,ocds-591adf-2175879797,1A
1396,ocds-591adf-8521934512,2A
1397,ocds-591adf-2307327948,1A
1398,ocds-591adf-4406043787,1C
1399,ocds-591adf-1717538716,1B
1400,ocds-591adf-1510528295,1B
1401,ocds-591adf-2931775270,1B
1402,ocds-591adf-5685445366,1A
1403,ocds-591adf-0100189184,1B
1404,ocds-591adf-8525037580,1B
1405,ocds-591adf-5527410295,1B
1406,ocds-591adf-4270474629,1A
1407,ocds-591adf-2126098674,1B
1408,ocds-591adf-0976678795,1C
1409,ocds-591adf-1594835240,2A
1410,ocds-591adf-8120227611,2A
1411,ocds-591adf-4837532873,2A
1412,ocds-591adf-4789221573,2B
1413,ocds-591adf-4049230261,1B
1414,ocds-591adf-4207666738,1B
1415,ocds-591adf-9593858126,2A
1416,ocds-591adf-8944461550,1B
1417,ocds-591adf-7372770080,3B
1418,ocds-591adf-3986673209,2A
1419,ocds-591adf-3149266819,2C
1420,ocds-591adf-4370005060,1B
1421,ocds-591adf-2024220770,1B
1422,ocds-591adf-8090982720,2A
1423,ocds-591adf-1454401801,2A
1424,ocds-591adf-7068014216,2C
1425,ocds-591adf-9914903289,2A
1426,ocds-591adf-2015681219,2A
1427,ocds-591adf-6886084452,2A
1428,ocds-591adf-7433399809,2A
1429,ocds-591adf-6477149327,2A
1430,ocds-591adf-6265815339,1A
1431,ocds-591adf-8459966788,2A
1432,ocds-591adf-1596285788,2A
1433,ocds-591adf-9855163235,2A
1434,ocds-591adf-9619723902,1C
1435,ocds-591adf-0842774436,1B
1436,ocds-591adf-8913086018,2A
1437,ocds-591adf-4284433444,2A
1438,ocds-591adf-8376312952,2A
1439,ocds-591adf-7785339907,1B
1440,ocds-591adf-0311756882,1A
1441,ocds-591adf-0475780199,2A
1442,ocds-591adf-4484816003,2A
1443,ocds-591adf-4290386059,2A
1444,ocds-591adf-2078279301,1B
1445,ocds-591adf-3137703237,1B
1446,ocds-591adf-2610580215,2A
1447,ocds-591adf-4525917050,2A
1448,ocds-591adf-4743918819,1B
1449,ocds-591adf-4363752292,2C
1450,ocds-591adf-2767980529,3B
1451,ocds-591adf-9532496828,2B
1452,ocds-591adf-4282669265,2B
1453,ocds-591adf-7476483428,2C
1454,ocds-591adf-4498305521,2C
1455,ocds-591adf-9115409558,2C
1456,ocds-591adf-7829938225,2C
1457,ocds-591adf-1249445888,2C
1458,ocds-591adf-3119260709,2A
1459,ocds-591adf-8293568781,2A
1460,ocds-591adf-0682153656,2A
1461,ocds-591adf-0020404818,oneoff
1462,ocds-591adf-8398776486,2A
1463,ocds-591adf-9932168781,2A
1464,ocds-591adf-6547895805,2B
1465,ocds-591adf-8487663899,2B
1466,ocds-591adf-1926725137,2B
1467,ocds-591adf-9506474994,2C
1468,ocds-591adf-5096812350,2C
1469,ocds-591adf-1188759602,2A
1470,ocds-591adf-7650565205,3B
1471,ocds-591adf-5459637590,2C
1472,ocds-591adf-9269181621,2C
1473,ocds-591adf-0684176653,2A
1474,ocds-591adf-1649970298,2B
1475,ocds-591adf-8260381254,2B
1476,ocds-591adf-9292872653,2A
1477,ocds-591adf-0781697699,2C
1478,ocds-591adf-5576431527,2A
1479,ocds-591adf-6442841974,2A
1480,ocds-591adf-8797519591,2A
1481,ocds-591adf-7492015340,2A
1482,ocds-591adf-4091289998,2A
1483,ocds-591adf-0143682044,2A
1484,ocds-591adf-5128040886,2A
1485,ocds-591adf-7013278443,2A
1486,ocds-591adf-9352317451,2B
1487,ocds-591adf-9423984040,2B
1488,ocds-591adf-6393096610,2B
1489,ocds-591adf-1226071359,2B
1490,ocds-591adf-9251512174,2A
1491,ocds-591adf-0469490625,2A
1492,ocds-591adf-3469180455,3B
1493,ocds-591adf-9981564942,1B
1494,ocds-591adf-5442186007,3B
1495,ocds-591adf-6921063233,1A
